,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'Q_code.google.com', 'Q_stackoverflow.com'})",frozenset({'A_github.com'}),0.00349990278047832,0.15516235660120553,0.00174995139023916,0.5,3.2224310776942353,0.0012068982269450323,1.689675286797589
1,"frozenset({'Q_code.google.com', 'Q_github.com'})",frozenset({'A_github.com'}),0.00233326852031888,0.15516235660120553,0.00116663426015944,0.5,3.2224310776942353,0.0008045988179633547,1.689675286797589
2,frozenset({'Q_maven.apache.org'}),frozenset({'A_maven.apache.org'}),0.11705230410266382,0.22632704647093135,0.058137273964612095,0.49667774086378735,2.1945134203285726,0.03164517169443891,1.5371324027211197
3,"frozenset({'Q_maven.apache.org', 'Q_i.stack.imgur.com'})",frozenset({'A_maven.apache.org'}),0.004860976083997667,0.22632704647093135,0.0027221466070386936,0.56,2.4742955326460483,0.0016219762469816678,1.7583476216569744
4,"frozenset({'A_www.mojohaus.org', 'Q_github.com'})",frozenset({'A_maven.apache.org'}),0.0015555123468792534,0.22632704647093135,0.00116663426015944,0.7499999999999999,3.313788659793814,0.0008145797449411916,3.094691814116273
5,"frozenset({'Q_maven.apache.org', 'A_svn.apache.org'})",frozenset({'A_maven.apache.org'}),0.00233326852031888,0.22632704647093135,0.0013610733035193468,0.5833333333333334,2.577391179839634,0.0008329915306919745,1.856815088469765
6,"frozenset({'A_maven.apache.org', 'A_svn.apache.org'})",frozenset({'Q_maven.apache.org'}),0.00233326852031888,0.11705230410266382,0.0013610733035193468,0.5833333333333334,4.983527131782946,0.0010879588471258087,2.119074470153607
7,"frozenset({'A_i.stack.imgur.com', 'A_mvnrepository.com'})",frozenset({'Q_i.stack.imgur.com'}),0.0021388294769589733,0.1810227493680731,0.00116663426015944,0.5454545454545454,3.013182306415389,0.0007794574678108488,1.8017499513902389
8,"frozenset({'Q_maven.apache.org', 'A_books.sonatype.com'})",frozenset({'A_maven.apache.org'}),0.0015555123468792534,0.22632704647093135,0.0013610733035193468,0.875,3.8660867697594505,0.0010090187883010984,6.189383628232549
9,frozenset({'A_www.jetbrains.com'}),frozenset({'Q_i.stack.imgur.com'}),0.005444293214077387,0.1810227493680731,0.0029165856503986,0.5357142857142857,2.9593754795151144,0.0019310447244203681,1.763951001361073
10,"frozenset({'A_i.stack.imgur.com', 'A_www.jetbrains.com'})",frozenset({'Q_i.stack.imgur.com'}),0.00174995139023916,0.1810227493680731,0.00116663426015944,0.6666666666666666,3.6827783745076976,0.0008498532482378654,2.4569317518957803
11,frozenset({'A_i.stack.imgur.com'}),frozenset({'Q_i.stack.imgur.com'}),0.07233132412988529,0.1810227493680731,0.040637760062220495,0.5618279569892473,3.103631775290761,0.02754414490279541,1.8690769155526181
12,"frozenset({'A_i.stack.imgur.com', 'A_maven.apache.org'})",frozenset({'Q_i.stack.imgur.com'}),0.0036943418238382267,0.1810227493680731,0.0021388294769589733,0.5789473684210527,3.1982022725987904,0.001470069562902316,1.9450709702508264
13,frozenset({'Q_www.oracle.com'}),frozenset({'A_stackoverflow.com'}),0.0025277075636787865,0.15516235660120553,0.0013610733035193468,0.5384615384615385,3.4703103913630233,0.0009688682411402545,1.8304815606973885
14,frozenset({'Q_www.jfrog.com'}),frozenset({'A_www.jfrog.com'}),0.00233326852031888,0.006610927474236827,0.0013610733035193468,0.5833333333333334,88.23774509803923,0.0013456482345535988,2.384133774061832
15,frozenset({'A_docs.docker.com'}),frozenset({'Q_github.com'}),0.00174995139023916,0.1602177717285631,0.00116663426015944,0.6666666666666666,4.161003236245954,0.0008862609477820206,2.5193466848143102
16,frozenset({'A_docs.sonarqube.org'}),frozenset({'Q_i.stack.imgur.com'}),0.0027221466070386936,0.1810227493680731,0.0013610733035193468,0.5,2.7620837808807734,0.0008683028405302308,1.6379545012638537
17,frozenset({'A_youtrack.jetbrains.com'}),frozenset({'Q_i.stack.imgur.com'}),0.00408321991055804,0.1810227493680731,0.00233326852031888,0.5714285714285714,3.156667178149455,0.0015941128258352057,1.9109469181411625
18,frozenset({'Q_travis-ci.org'}),frozenset({'Q_github.com'}),0.0033054637371184134,0.1602177717285631,0.0021388294769589733,0.6470588235294117,4.038620788121073,0.0016092354424682921,2.379382980102404
19,frozenset({'A_intellij-support.jetbrains.com'}),frozenset({'Q_i.stack.imgur.com'}),0.0015555123468792534,0.1810227493680731,0.00116663426015944,0.7499999999999999,4.143125671321159,0.0008850511384513736,3.275909002527706
20,frozenset({'Q_docs.gradle.org'}),frozenset({'A_docs.gradle.org'}),0.0027221466070386936,0.004472097997277854,0.0013610733035193468,0.5,111.80434782608695,0.0013488995971297124,1.9910558040054442
21,frozenset({'A_vaadin.com'}),frozenset({'Q_vaadin.com'}),0.0027221466070386936,0.0038887808671981333,0.0015555123468792534,0.5714285714285714,146.94285714285715,0.001544926515236093,2.324259511309871
